Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,RainToday,RainTomorrow
37,15.5,15.5,7.8,1.4,5.1,13,72.0,6,14,19.0,31.0,38.0,997.8,996.3,4.4474612602152455,4.509930082924903,1.0,0.0
21,8.1,8.1,0.0,11.6,11.8,5,33.0,4,5,19.0,4.0,16.0,1021.3,1017.1,0.0,0.0,0.0,0.0
19,9.8,9.8,0.0,5.4,10.2,3,50.0,3,1,31.0,15.0,26.0,1026.0,1022.1,3.0,4.0,0.0,0.0
14,23.0,23.0,2.0,5.468231522922462,7.6111775206611565,3,44.0,7,3,13.0,35.0,75.0,1006.1,1001.5,4.4474612602152455,4.509930082924903,1.0,0.0
32,19.6,19.6,0.0,12.6,11.7,0,65.0,1,9,28.0,9.0,21.0,1015.4,1012.3,5.0,4.0,0.0,0.0
42,5.7,5.7,0.4,5.6,7.6111775206611565,10,26.0,2,10,11.0,17.0,61.0,1016.8,1013.0,8.0,8.0,0.0,1.0
15,14.3,14.3,0.0,5.8,8.6,14,39.0,6,2,17.0,17.0,80.0,1008.6,1009.1,4.4474612602152455,4.509930082924903,0.0,0.0
9,1.6,1.6,0.0,5.4,11.2,6,46.0,6,6,11.0,33.0,49.0,1021.5,1018.4,2.0,1.0,0.0,0.0
31,16.6,16.6,0.0,9.4,12.9,12,43.0,0,11,13.0,17.0,30.0,1015.7,1011.1,0.0,0.0,0.0,0.0
19,3.2,3.2,0.2,1.2,3.8,8,22.0,13,8,13.0,11.0,70.0,1028.1,1026.8,7.0,6.0,0.0,0.0
28,3.7,3.7,0.0,2.2,6.2,2,35.0,2,10,7.0,15.0,42.0,1033.0,1030.9,7.0,4.509930082924903,0.0,0.0
39,23.1,23.1,0.0,7.0,11.2,4,37.0,8,1,11.0,28.0,61.0,1011.3,1007.4,2.0,1.0,0.0,0.0
36,17.7,17.7,10.6,5.468231522922462,7.6111775206611565,13,40.03523007167319,8,9,20.0,20.0,91.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,1.0,0.0
47,13.3,13.3,0.0,5.468231522922462,7.6111775206611565,8,41.0,8,10,26.0,22.0,51.0,1018.1,1016.7,4.4474612602152455,4.509930082924903,0.0,0.0
3,11.0,11.0,0.0,5.2,8.7,3,50.0,3,6,0.0,24.0,27.0,1017.5,1013.0,1.0,3.0,0.0,0.0
0,18.4,18.4,0.0,5.468231522922462,7.6111775206611565,13,40.03523007167319,12,12,13.0,19.0,47.0,1016.9,1018.9,4.4474612602152455,4.509930082924903,0.0,0.0
6,6.9,6.9,0.8,5.468231522922462,7.6111775206611565,14,57.0,7,14,20.0,33.0,66.0,1008.6,1004.8,8.0,7.0,0.0,1.0
44,5.9,5.9,0.0,1.8,8.5,8,30.0,4,11,6.0,15.0,48.0,1027.1,1025.9,1.0,7.0,0.0,0.0
9,4.6,4.6,0.0,1.8,8.2,6,50.0,6,7,20.0,22.0,61.0,1015.5,1010.9,3.0,6.0,0.0,0.0
13,25.9,25.9,1.8,8.4,9.5,7,31.0,3,7,9.0,24.0,63.0,1007.6,1004.1,7.0,7.0,1.0,1.0
14,24.1,24.1,0.0,5.468231522922462,7.6111775206611565,10,31.0,10,2,22.0,11.0,69.0,1016.9,1014.4,4.4474612602152455,4.509930082924903,0.0,1.0
9,10.9,10.9,0.0,5.6,8.2,13,50.0,6,14,17.0,28.0,31.0,1004.5,1002.5,7.0,3.0,0.0,0.0
24,13.4,13.4,0.0,5.468231522922462,7.6111775206611565,13,40.03523007167319,9,9,4.0,2.0,62.0,1017.6499397983052,1015.2558888309618,0.0,1.0,0.0,0.0
4,-0.5,-0.5,0.0,5.468231522922462,7.6111775206611565,12,13.0,9,4,2.0,6.0,39.0,1027.4,1023.1,4.4474612602152455,4.509930082924903,0.0,0.0
5,7.7,7.7,0.0,5.468231522922462,7.6111775206611565,9,39.0,3,3,11.0,19.0,25.0,1018.0,1015.6,4.4474612602152455,4.509930082924903,0.0,0.0
22,8.0,8.0,1.2,5.468231522922462,7.6111775206611565,12,46.0,15,11,28.0,31.0,66.0,1019.4,1020.7,5.0,8.0,1.0,1.0
46,11.9,11.9,0.0,5.468231522922462,7.6111775206611565,11,31.0,14,12,9.0,19.0,49.0,1011.3,1010.3,4.4474612602152455,4.509930082924903,0.0,0.0
34,4.4,4.4,0.0,5.468231522922462,7.6111775206611565,1,19.0,3,2,0.0,9.0,43.0,1020.0,1016.0,4.4474612602152455,4.509930082924903,0.0,0.0
6,3.9,3.9,0.0,5.468231522922462,7.6111775206611565,6,28.0,10,6,11.0,20.0,35.0,1019.3,1017.1,4.4474612602152455,4.509930082924903,0.0,0.0
11,6.7,6.7,0.0,5.468231522922462,7.6111775206611565,1,26.0,12,2,13.0,9.0,66.0,1027.0,1024.9,4.4474612602152455,4.509930082924903,0.0,0.0
23,6.9,6.9,0.0,5.468231522922462,7.6111775206611565,11,22.0,2,13,6.0,4.0,57.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
18,7.3,7.3,1.2,1.2,7.2,3,28.0,7,6,13.0,15.0,57.0,1019.5,1016.8,1.0,7.0,1.0,1.0
27,16.1,16.1,1.2,2.0,7.6111775206611565,13,52.0,8,8,28.0,24.0,53.0,1021.7,1020.4,8.0,1.0,1.0,0.0
30,12.5,12.5,0.2,5.468231522922462,7.6111775206611565,11,22.0,10,7,11.0,6.0,60.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
41,22.9,22.9,0.0,5.468231522922462,7.6111775206611565,8,35.0,9,10,20.0,17.0,17.0,1013.9,1010.2,4.4474612602152455,4.509930082924903,0.0,0.0
12,13.9,13.9,1.6,3.6,5.5,8,35.0,8,8,22.0,19.0,54.0,1013.8,1016.9,4.4474612602152455,4.509930082924903,1.0,0.0
38,20.7,20.7,16.2,2.2,0.0,0,61.0,5,4,17.0,19.0,93.0,1009.4,1008.5,8.0,8.0,1.0,1.0
47,15.1,15.1,0.0,5.468231522922462,7.6111775206611565,7,35.0,9,5,6.0,15.0,68.0,1025.3,1022.3,2.0,4.509930082924903,0.0,0.0
15,3.6,3.6,0.0,1.4,9.8,6,46.0,6,3,30.0,22.0,49.0,1020.2,1016.4,4.4474612602152455,4.509930082924903,0.0,0.0
10,7.2,7.2,0.0,2.8,7.6111775206611565,8,33.0,8,8,15.0,17.0,57.0,1027.5,1024.9,4.4474612602152455,1.0,0.0,0.0
37,15.5,15.5,0.0,5.6,9.4,13,40.03523007167319,11,10,15.0,24.0,63.0,1015.6,1015.3,5.0,3.0,0.0,0.0
7,12.6,12.6,0.4,2.6,3.5,10,28.0,12,9,7.0,13.0,51.0,1020.9,1017.9,7.0,7.0,0.0,0.0
7,21.9,21.9,0.0,9.0,12.1,0,33.0,9,0,11.0,19.0,53.0,1011.4,1010.6,7.0,2.0,0.0,0.0
35,-3.8,-3.8,0.0,0.2,5.3,2,19.0,3,2,0.0,11.0,50.0,1027.1,1021.8,4.0,7.0,0.0,1.0
1,9.1,9.1,0.2,1.8,10.0,13,40.03523007167319,3,9,4.0,13.0,74.0,1025.0,1021.3,1.0,4.0,0.0,0.0
17,0.9,0.9,0.0,5.468231522922462,7.6111775206611565,7,30.0,3,7,6.0,11.0,46.0,1034.3,1030.2,4.4474612602152455,4.509930082924903,0.0,0.0
34,19.7,19.7,0.0,5.468231522922462,7.6111775206611565,9,39.0,8,2,13.0,26.0,43.0,1015.6,1014.4,4.4474612602152455,4.509930082924903,0.0,0.0
19,10.3,10.3,0.2,3.6,4.5,13,67.0,13,14,24.0,30.0,48.0,1016.6,1017.0,2.0,7.0,0.0,0.0
26,20.4,20.4,0.2,5.468231522922462,7.6111775206611565,5,65.0,4,4,15.0,24.0,83.0,1013.8,1011.1,4.4474612602152455,4.509930082924903,0.0,0.0
12,5.9,5.9,3.4,5.468231522922462,7.6111775206611565,12,54.0,15,12,9.0,11.0,75.0,1022.0,1023.5,4.4474612602152455,4.509930082924903,1.0,0.0
27,18.0,18.0,3.0,7.0,9.7,12,56.0,12,12,31.0,30.0,63.0,1009.9,1009.9,3.0,2.0,1.0,0.0
36,10.6,10.6,0.0,5.468231522922462,7.6111775206611565,5,43.0,3,13,15.0,13.0,41.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
15,1.8,1.8,4.2,0.6,7.0,6,44.0,6,6,24.0,20.0,51.0,1019.9,1019.2,4.4474612602152455,4.509930082924903,1.0,0.0
29,21.1,21.1,0.6,5.468231522922462,0.3,2,48.0,15,15,11.0,11.0,79.0,1011.4,1010.1,8.0,8.0,0.0,1.0
10,3.5,3.5,0.0,1.6,7.6111775206611565,8,30.0,11,10,9.0,13.0,51.0,1028.4,1027.4,1.0,2.0,0.0,0.0
4,4.8,4.8,0.2,5.468231522922462,7.6111775206611565,12,31.0,9,15,4.0,15.0,53.0,1018.4,1016.9,4.4474612602152455,4.509930082924903,0.0,0.0
10,24.0,24.0,2.6,5.468231522922462,7.6111775206611565,6,41.0,5,10,9.0,11.0,51.5391158755046,1004.6,1002.1,5.0,7.0,1.0,0.0
5,3.5,3.5,4.8,5.468231522922462,7.6111775206611565,14,37.0,11,13,13.0,17.0,48.0,1010.3,1007.2,0.0,8.0,1.0,0.0
19,8.9,8.9,0.0,3.0,8.4,10,30.0,3,4,15.0,13.0,41.0,1030.1,1026.5,3.0,7.0,0.0,0.0
35,1.1,1.1,0.0,2.2,8.8,13,40.03523007167319,14,13,20.0,13.0,47.0,1019.3,1014.3,1.0,3.0,0.0,1.0
44,5.9,5.9,0.8,0.8,6.8,1,13.0,3,7,2.0,6.0,49.0,1027.7,1024.9,2.0,3.0,0.0,0.0
35,5.6,5.6,0.0,5.468231522922462,7.6111775206611565,3,35.0,0,0,11.0,26.0,52.0,1023.4,1018.4,4.4474612602152455,1.0,0.0,0.0
45,17.0,17.0,0.0,3.6,10.9,14,41.0,14,14,24.0,26.0,30.0,1011.7,1008.1,1.0,1.0,0.0,0.0
33,11.5,11.5,0.0,5.6,9.9,9,31.0,9,8,17.0,17.0,73.0,1020.6,1019.1,7.0,7.0,0.0,0.0
32,20.9,20.9,0.0,8.0,10.0,2,52.0,0,15,31.0,28.0,43.0,1015.0,1012.4,6.0,1.0,0.0,0.0
10,6.4,6.4,0.0,1.4,7.6111775206611565,12,19.0,0,14,7.0,7.0,39.0,1021.1,1018.6,1.0,1.0,0.0,0.0
1,9.8,9.8,0.0,1.4,6.6,13,40.03523007167319,3,4,11.0,11.0,62.0,1016.1,1013.4,3.0,7.0,0.0,0.0
24,15.4,15.4,0.0,5.468231522922462,7.6111775206611565,13,40.03523007167319,9,9,9.0,15.0,53.0,1017.6499397983052,1015.2558888309618,8.0,7.0,0.0,0.0
19,14.2,14.2,0.0,6.6,10.1,3,54.0,3,5,39.0,30.0,36.0,1022.5,1019.8,2.0,1.0,0.0,0.0
39,10.6,10.6,0.0,3.6,9.4,4,20.0,3,3,0.0,13.0,43.0,1018.8,1015.8,7.0,7.0,0.0,0.0
46,14.0,14.0,0.0,5.468231522922462,7.6111775206611565,9,48.0,2,10,13.0,26.0,42.0,1021.5,1018.9,4.4474612602152455,4.509930082924903,0.0,0.0
47,14.0,14.0,0.0,5.468231522922462,7.6111775206611565,9,33.0,8,9,9.0,20.0,76.0,1021.9,1021.4,4.4474612602152455,4.509930082924903,0.0,0.0
40,8.8,8.8,0.0,5.468231522922462,7.6111775206611565,13,76.0,3,7,9.0,17.0,59.0,1016.2,1010.1,4.4474612602152455,4.509930082924903,0.0,1.0
12,4.5,4.5,1.2,2.0,8.0,7,37.0,3,7,11.0,13.0,79.0,1022.0,1019.2,4.4474612602152455,4.509930082924903,1.0,0.0
38,21.4,21.4,0.0,10.4,12.8,4,63.0,5,4,11.0,31.0,46.0,1016.6,1013.9,2.0,0.0,0.0,0.0
22,6.3,6.3,11.6,1.2,7.6111775206611565,15,39.0,7,14,13.0,20.0,78.0,1021.8,1021.5,8.0,7.0,1.0,1.0
36,13.8,13.8,0.0,5.468231522922462,7.6111775206611565,3,26.0,14,4,9.0,11.0,74.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,1.0
40,-2.5,-2.5,0.0,5.468231522922462,7.6111775206611565,3,22.0,3,13,0.0,7.0,38.0,1019.8,1016.4,4.4474612602152455,4.509930082924903,0.0,1.0
29,8.8,8.8,18.6,5.468231522922462,8.0,2,22.0,14,9,6.0,17.0,53.0,1019.2,1018.4,6.0,6.0,1.0,0.0
39,21.7,21.7,0.0,6.6,1.5,0,50.0,9,2,31.0,28.0,65.0,1020.8,1018.8,7.0,7.0,0.0,0.0
4,12.3,12.3,8.6,5.468231522922462,7.6111775206611565,3,17.0,3,3,0.0,11.0,79.0,1026.0,1022.4,4.4474612602152455,4.509930082924903,1.0,0.0
27,19.1,19.1,0.0,6.6,2.9,0,39.0,2,2,17.0,19.0,60.0,1022.2,1020.9,6.0,7.0,0.0,0.0
25,16.1,16.1,2.3609181499166656,5.468231522922462,7.6111775206611565,13,46.0,5,13,9.0,28.0,34.0,1010.5,1010.3,4.4474612602152455,4.509930082924903,0.0,0.0
18,8.1,8.1,0.6,4.0,5.1,6,31.0,7,13,11.0,13.0,52.0,1012.9,1009.5,4.0,6.0,0.0,1.0
9,12.8,12.8,3.0,5.468231522922462,7.6111775206611565,0,30.0,8,0,9.0,15.0,79.0,1016.4,1015.8,8.0,7.0,1.0,1.0
42,15.3,15.3,0.0,7.8,10.1,1,31.0,0,4,11.0,9.0,10.0,1021.3,1017.5,1.0,3.0,0.0,0.0
7,13.4,13.4,0.0,3.4,9.8,15,19.0,15,13,9.0,9.0,44.0,1018.6,1015.2,0.0,1.0,0.0,0.0
31,17.3,17.3,0.0,7.6,10.1,15,33.0,13,15,11.0,17.0,55.0,1016.3,1016.4,5.0,2.0,0.0,0.0
36,13.6,13.6,0.0,5.468231522922462,7.6111775206611565,0,52.0,0,10,20.0,13.0,30.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,1.0
3,4.4,4.4,0.0,7.2,11.8,9,35.0,3,2,0.0,11.0,6.0,1021.2,1016.7,0.0,4.509930082924903,0.0,0.0
27,18.2,18.2,0.0,7.0,7.6111775206611565,13,40.03523007167319,9,10,26.0,22.0,85.0,1019.5,1018.3,7.0,7.0,0.0,0.0
43,15.3,15.3,0.0,5.468231522922462,7.6111775206611565,2,61.0,1,2,19.0,30.0,64.0,1017.7,1014.9,4.4474612602152455,4.509930082924903,0.0,0.0
37,11.2,11.2,2.6,1.6,0.8,13,40.03523007167319,3,5,4.0,11.0,90.0,1029.8,1024.8,8.0,8.0,1.0,1.0
8,20.7,20.7,3.2,4.0,8.4,9,54.0,10,9,19.0,39.0,70.0,1018.0,1015.4,4.0,3.0,1.0,1.0
38,9.5,9.5,0.0,2.8,4.9,13,28.0,6,0,15.0,19.0,36.0,1019.2,1013.8,7.0,1.0,0.0,0.0
32,9.8,9.8,2.4,3.6,8.8,6,39.0,5,6,15.0,24.0,40.0,1021.0,1015.1,2.0,3.0,1.0,1.0
31,8.9,8.9,0.0,2.0,9.2,0,19.0,4,10,7.0,6.0,49.0,1025.1,1022.6,1.0,1.0,0.0,0.0
1,6.5,6.5,0.0,2.2,10.1,13,40.03523007167319,12,9,4.0,17.0,66.0,1023.9,1020.5,2.0,1.0,0.0,0.0
10,8.8,8.8,3.2,1.2,7.6111775206611565,2,22.0,0,10,15.0,11.0,93.0,1020.9,1018.5,8.0,8.0,1.0,1.0
35,14.2,14.2,3.8,5.468231522922462,7.6111775206611565,13,70.0,13,13,20.0,39.0,54.0,1005.7,1005.8,8.0,8.0,1.0,1.0
30,7.0,7.0,0.0,5.468231522922462,7.6111775206611565,15,31.0,14,4,6.0,7.0,16.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
34,15.6,15.6,4.4,3.0,7.6111775206611565,10,43.0,5,9,7.0,22.0,57.0,1013.2,1009.2,1.0,4.0,1.0,1.0
27,18.8,18.8,0.4,7.4,4.8,0,44.0,9,2,17.0,30.0,65.0,1016.5,1013.7,7.0,7.0,0.0,0.0
21,18.7,18.7,0.2,3.0,5.2,0,48.0,2,0,26.0,15.0,42.0,1017.6,1015.5,2.0,8.0,0.0,0.0
25,12.2,12.2,0.0,5.468231522922462,7.6111775206611565,10,50.0,10,8,24.0,37.0,50.0,1009.6,1010.0,4.4474612602152455,4.509930082924903,0.0,0.0
10,8.0,8.0,0.0,4.2,7.6111775206611565,12,35.0,11,8,6.0,11.0,14.0,1020.0,1017.5,5.0,7.0,0.0,0.0
0,20.9,20.9,0.0,7.6,7.6111775206611565,14,46.0,4,3,6.0,15.0,26.0,1014.2,1008.6,4.4474612602152455,4.509930082924903,0.0,0.0
43,10.1,10.1,5.8,5.468231522922462,7.6111775206611565,15,28.0,7,13,13.0,19.0,63.0,1010.3,1008.3,4.4474612602152455,4.509930082924903,1.0,0.0
48,7.3,7.3,0.0,9.0,12.0,10,43.0,10,11,26.0,26.0,24.0,1027.9,1025.2,1.0,0.0,0.0,0.0
6,7.6,7.6,10.4,2.8,7.6111775206611565,12,76.0,13,15,19.0,26.0,82.0,1002.4,1005.4,8.0,2.0,1.0,1.0
40,13.0,13.0,0.0,5.468231522922462,7.6111775206611565,1,26.0,12,2,4.0,7.0,43.0,1028.2,1025.5,4.4474612602152455,4.509930082924903,0.0,0.0
11,9.7,9.7,0.0,1.2,9.9,11,35.0,12,8,9.0,19.0,34.0,1016.7,1015.8,1.0,1.0,0.0,0.0
37,20.4,20.4,9.6,5.468231522922462,3.3,8,56.0,10,8,22.0,30.0,78.0,1014.7,1013.3,7.0,7.0,1.0,1.0
16,25.5,25.5,0.0,8.0,7.6111775206611565,13,35.0,6,14,15.0,13.0,51.5391158755046,1013.5,1007.7,6.0,4.509930082924903,0.0,0.0
47,16.0,16.0,10.6,5.468231522922462,7.6111775206611565,3,46.0,15,14,13.0,7.0,88.0,1023.5,1019.9,8.0,6.0,1.0,1.0
39,23.2,23.2,0.0,8.6,11.1,1,33.0,9,1,20.0,26.0,56.0,1012.2,1009.3,2.0,6.0,0.0,0.0
44,7.2,7.2,0.0,5.0,6.1,5,52.0,0,5,6.0,24.0,21.0,1016.9,1010.8,6.0,6.0,0.0,0.0
42,3.5,3.5,10.0,1.0,4.5,3,24.0,1,3,7.0,11.0,57.0,1012.9,1010.0,8.0,8.0,1.0,1.0
36,-2.4,-2.4,0.0,5.468231522922462,7.6111775206611565,13,40.03523007167319,3,9,14.043425914971502,18.662656778887342,23.0,1017.6499397983052,1015.2558888309618,4.4474612602152455,4.509930082924903,0.0,0.0
39,20.2,20.2,0.0,10.4,9.5,1,39.0,1,1,24.0,30.0,67.0,1015.3,1011.8,2.0,3.0,0.0,0.0
8,23.6,23.6,0.6,0.2,3.1,9,56.0,10,10,17.0,22.0,62.0,1011.3,1007.9,7.0,7.0,0.0,0.0
